"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQN = name in a block quote; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","ADVERTISEMENT NUMBER","SCANNED TEXT"
1,1,0,"PI",0,0,0,"MAY 1 9 1981"
2,0,0,"NA",0,0,0,"c"
3,1,0,"OT",0,0,0,"University Arcjhl vea"
4,1,1,"HL",0,0,0,"Hawk wins presidential runoff race"
5,1,1,"TXT",1,0,0,"Dennis Hawk captured the ASI preeidency by more than a 2-1 margin over Stephanie Nelson 'Hiursday in an election which aaw approximately 10 pereant of the student bt^y cast their ballot, election official Margaret Stanton reported."
6,1,1,"TXT",2,0,0,"Only 1,589 students showed up at the voting stations or about 10 percent of the voting populace. But Hawk was the clear favorite of those who did"
7,1,1,"TXT",2,0,0,"vote, taUjf^ 1,065 votes for a total of 67 percent of the ballots cast. Nelson garnered the support of 524 voters (33 percent)."
8,1,1,"TXT",3,0,0,"The 10 percent student body vote marled the lowest turnout in recent years. Last year 20.5 percent of the electorate came to the polls to vote for Willie Huff who ran unopposed. In the runoff election two years ago, 17 percent of the student' body voted in the electipn which saw"
9,1,1,"TXT",3,0,0,"Rose Kranx defeat Ann CTIendenen."
10,0,0,"NA",0,0,0,"e"
11,1,1,"TXT",4,0,0,"More than 50 percent additional voters cast their ballots in the May 6 and 7 four-way presidential race featuring WiU Fox and Mike Jezbera in addition to NelstHMnd Hawk. Hawk won a plurality with 967 votes, but--fell far short of the 50 percent majority needed to win. Nelson earned 675 votes (27 per-.cent), while Fox and Jezbera"
12,1,1,"TXT",4,0,0,"recorded 507 (21 percent) and 268 votes (11 percent) respectively."
13,1,1,"TXT",5,0,0,"Hawk pledged in his bampaign * to try to annex the .campus dorms into the dty, initiate a CAR cleanup day and try to lure a local bank into instiJling an automatic teller on camptu."
14,1,1,"TXT",6,0,0,"Nelson had promised to bring in a team of business and economics seniors to try to reorganize the ASI so it could function more like a corporation."
15,1,0,"PI",0,0,0,"Friday. May IS, 1981"
16,1,0,"NP",0,0,0,"Mustang Daily"
17,1,0,"NP",0,0,0,"CaHfomia Polyteclink State Uaiverdty, Saa Lais Obispo"
18,1,1,"PH",0,0,0,"Darinla Hawk"
19,1,0,"PI",0,0,0,"Volume 48, No. 183"
20,1,2,"HL",0,0,0,"Lawyer blasts PG&E record, Diablo"
21,0,0,"NA",0,0,0,"»O'"
22,0,0,"NA",0,0,0,"MiMlane OMy-OartpM"
23,1,2,"PH",0,0,0,"Lawyer and PG&E critic W. Andrew Baldwin shuffles through some notes during his talk Thursday in UU 112."
24,1,2,"BL",0,0,0,"BY JIM MALONE."
25,1,2,"BL",0,0,0,"StoNWiHw"
26,1,2,"TXT",1,0,0,"Days before local hearings to decide whether the Diablo Canyon nuclear power plant will be fired up for low-power testing, an attorney for plant opponents on campus Thursday assailed PG&E's nuclear track record and questioned credibility of the utility’s pronouncements."
27,1,2,"TXT",2,0,0,"Speaking in UU 112, W. Andrew Baldwin, the lawyer representing the legal intervenors in Utigation cqncerning the plant’s security system, said the pubUc is caught between two sides on the issue of Diablo Canyon’s safety."
28,1,2,"TXT",3,0,0,"“PG'&E says the plant is safe, but can we believe them?” he said."
29,1,2,"TXT",4,0,0,"In answer to his own question, Baldwin detailed several incidents which occurred during the utility’s attempts to build and operate five nuclear power plants in California since 1955. He also cited a court decision which found PG&E guilty of libeling a television documentary producer."
30,1,2,"TXT",5,0,0,"Beginning with the VallMitos power plant near San Jose, Baldwin ran down a list of nuclear power projects undertaken by PG&E, all of which were found to be on or near earthquake faults. These included:^	"""
31,1,2,"TXT",6,0,0,"—a nuclear plant at Humboldt Bay, closed in 1975 for refueling and never reopened due to seismic hazards and leaking fuel."
32,1,2,"TXT",7,0,0,"—the abortive Bolinas Bay plant, which was blocked by the Alo™<^ Energy Commission before construction began because of its proximity to the San Andreas fault."
