"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; C = comic strip",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,1,0,"NP","0",0,0,"CALIFORNIA POLYTECHNIC"
2,1,0,"NP","0",0,0,"UNIVERSITY SAN LUIS OBISPO"
3,1,0,"PI","0",0,0,"VOLUME 56, No. 46 ★ Friday, December 6, 1991"
4,1,1,"HL","0",0,0,"Christmas spirit grows at Poly"
5,1,1,"HL","0",0,0,"NRM students, logging team run tree farm"
6,1,1,"BL","0",0,0,"Holly Vuiulerlann"
7,1,1,"BL","0",0,0,"Staff Writer"
8,1,1,"TXT","1",0,0,"‘Tis the Christmas season, and nothinfi tops the holiday more than the scent of a fresh-cut Christmas tree."
9,1,1,"TXT","2",0,0,"For the third year in a row, students can do their Christmas tree shopping on campus."
10,1,1,"TXT","3",0,0,"The natural resource management department’s enterprise project has about 550 Monterey pine trees and some pre-cut red fir trees to ch(X)se from."
11,1,1,"TXT","4",0,0,"The tree faiTn was planted in 1984 and opened for business four years lattm with a stock of 220 trees."
12,1,1,"TXT","5",0,0,"Last year, tree sales topped the 300 mark, and this year the department is hoping for more, said Mike DeLasaux, a NRM instructional technician."
13,1,1,"TXT","6",0,0,"DeLasaux said enterprise projects are available through the Sch(X)l of Agi'iculture. The program, which is open to anyone, enables students to develop projects and experiments."
14,1,1,"TXT","7",0,0,"He said the students must provide a proposal that outlines the project and its expenses and shows a complete budget statement. If it is approved, the Cal Poly Foundation supplies the start-up money."
15,1,1,"TXT","8",0,0,"DeLasaux said the tree farm is a unique enterprise project because it’s managed by the Cal Poly Logging Sports Team. It is one of the few projects that"
16,0,0,"NA","0",0,0,"i '"
17,0,0,"B","0",0,0,
18,0,0,"NA","0",0,0,"K"
19,0,0,"NA","0",0,0,"•'ll m-"
20,0,0,"NA","0",0,0,"à"
21,0,0,"B","0",0,0,
22,0,0,"NA","0",0,0,"I"
23,0,0,"B","0",0,0,
24,0,0,"NA","0",0,0,"f‘%-"
25,0,0,"NA","0",0,0,"''-i	'"
26,0,0,"NA","0",0,0,"** *"
27,0,0,"NA","0",0,0,"''X"
28,0,0,"NA","0",0,0,"^"
29,0,0,"NA","0",0,0,"li"
30,0,0,"NA","0",0,0,"ñ"
31,0,0,"NA","0",0,0,"^■4"
32,0,0,"B","0",0,0,
33,0,0,"NA","0",0,0,"*0"
34,0,0,"B","0",0,0,
35,0,0,"B","0",0,0,
36,1,1,"PH","0",0,0,"RAY SANCHEZ/Mustang Daily"
37,1,1,"PH","0",0,0,"Environmental engineering senior Dave Schinski checks out a Poly-growth Christmas tree. The NRM department and logging team plan to sell more than 550 fresh-cut trees this holiday season."
38,1,1,"TXT","8",0,0,"a club team manages."
39,1,1,"TXT","9",0,0,"He said the projects are usually developed and run by a few students who split the profits."
40,1,1,"TXT","10",0,0,"Craig Linguist, a natural resource management senior and member of the logging club team, said the club needs about 812,000 to host the American Western Forestry Conclave in"
41,1,1,"TXT","10",0,0,"April."
42,1,1,"TXT","11",0,0,"This is a major logging event which will bring forestry schools such as Humboldt State and Oregon State to Cal Poly to compete in logging competitions."
43,1,1,"TXT","12",0,0,"Last year, Poly placed second in the AWFC in Colorado."
44,1,1,"ME","0",3,0,"See TREES, page 3"
45,1,2,"HL","0",0,0,"AS I votes to approve IRA election results"
46,1,2,"BL","0",0,0,"By Tracy Condron"
47,1,2,"BL","0",0,0,"Staff Writer	_____"
48,1,2,"TXT","1",0,0,"After lengthy discussion Wednesday, the ASI Board of Directors voted to accept the results of the November referendum election and passed the ballot on to President Warren Baker with its recommendations."
49,1,2,"TXT","2",0,0,"The board felt compelled to vote on the issue, even though some of the directors felt rushed, because it was told that Baker was making his decision before Dec. 31, and ASI will not meet again until the second week of January."
50,1,2,"TXT","3",0,0,"“By Dec. 31, President Baker will make a decision on renewing contracts of many coaches,” said Chairman of the Board Dennis Albiani. “President Baker, basically in an IRA election, has the final authority.”"
51,1,2,"TXT","4",0,0,"The board debated the issue for two hours before unanimously approving the Nov. 20-21 vote."
52,1,2,"TXT","5",0,0,"Students filled U.U. room 220, where the meeting was held, to voice their concerns about the recent election, particularly in regard to the athletics referendum."
53,1,2,"TXT","6",0,0,"Some of their concerns addressed alleged fraudulent voting, pressures put on by the athletics department and questions as to the objectivity of the IRA task force."
54,1,2,"TXT","7",0,0,"In its recommendations to Baker, the board expressed concern about athletes violating the Interhall Council Solicitation policy by going door to door in the residence halls distributing information and persuading students to vote yes."
55,1,2,"TXT","8",0,0,"The board also addressed a complaint filed that students used telephones in the athletics department to persuade yes"
56,1,2,"BQT","0",0,0,"“I don’t see why we’d want to postpone it. Basically, it’s forfeiting our rights to advise (Baker).”"
57,1,2,"BQA","0",0,0,"— Todd Fernandes, School of Agriculture"
58,1,3,"HL","0",0,0,"Christmas crime: Lock it, take it — just don’t leave it"
59,1,2,"TXT","8",0,0,"votes."
60,1,2,"TXT","9",0,0,"The election results were presented by Dan Nail, director from the School of Agriculture and chairman of the Elections Committee. He said that the committee had investigated all filed complaints."
61,1,2,"TXT","10",0,0,"Nail said the use of telephones and solicitation of residence halls were not brought to his attention in time for him to prevent them, and now those incidents are the responsibility of the university."
62,1,2,"TXT","11",0,0,"Dennis Lang, director from the School of Business, was worried about the election count."
63,1,2,"TXT","12",0,0,"“If anybody put in a fake social security number or a fake name, we have done nothing to check to see if those names are actually students,” he said."
64,1,2,"TXT","13",0,0,"The board included a request that the university check all names and social security numbers to make sure the students were registered."
65,1,2,"TXT","14",0,0,"Some directors felt rushed in their decision on the issue and pleaded for more time. Others pushed to approve the election."
66,1,2,"TXT","15",12,0,"“By postponing (approval of) the election, we are doing a tremendous disservice to the See ASI, page 12"
67,1,3,"BL","0",0,0,"By Amy Reardon"
68,1,3,"BL","0",0,0,"Editorial Staff"
69,1,3,"TXT","1",0,0,"Students who are planning on leaving valuables at their ofT-campus San Luis Obispo residences during the quarter break may as well just kiss them goodbye, says a l(K’al police ofTlcer."
70,1,3,"TXT","2",0,0,"Every year when Cal Poly students leave for the holidays, a large number of student residences are burglarized, said Steven Seybold, crime prevention coordinator at the San Luis Obispo Police Department."
71,1,3,"TXT","3",0,0,"“It has become a major problem, especially in student housing,” Seybold said. “When everyone comes back, we get a flood of reports (that students have been burglarized).”"
72,1,3,"TXT","4",0,0,"Seybold said 138 thefts were reported by residents of off-campus student housing after last year’s holiday season. He also said that there were probably a large number of students who were burglarized and did not report the crimes."
73,1,3,"TXT","5",0,0,"Cal Poly Public Safety Investigator Mike Kennedy said the situation is different on campus."
74,1,3,"TXT","6",0,0,"“Most of our crime happens while students are still here,” Kennedy said."
75,1,3,"TXT","7",0,0,"He said housing hires security guards that patrol the residence halls every night during the break. “We (Public Safety) also patrol housing."
76,1,3,"TXT","8",0,0,"“It (burglary) is not a big problem during that time.”"
77,1,3,"ME","0",9,0,"See CRIME, page 9"
78,1,4,"HL","0",0,0,"Community debates ordinance"
79,1,4,"HL","0",0,0,"Students react to new landlord noise amendment"
80,1,4,"BL","0",0,0,"By Meredith Rehrman"
81,1,4,"BL","0",0,0,"Staff Writer"
82,1,4,"TXT","1",0,0,"San Luis Obispo may soon expand the city’s nuisance abatement ordinance to include noise disturbances. And that might cause landlords of noisy tenants to start reaching for their pocketbooks."
83,1,4,"TXT","2",0,0,"The amendment would allow the city to press criminal charges against landlords of noisy tenants."
84,1,4,"TXT","3",0,0,"Criminal action would be enacted if a residence is called on for “loud or unruly assemblages” more than twice in"
85,1,4,"TXT","3",0,0,"a 60-day period."
86,1,4,"TXT","4",0,0,"After more than two contacts, landlords would be notified. They would be cited with an infraction on third, fourth and fifth visits to the residence. A sixth visit could subject the landlord to a $1,000 fine and six months in jail."
87,1,4,"TXT","5",0,0,"Because the majority of renters in the city are students, there is concern about whether the amendment represents further action against them."
88,1,4,"TXT","6",0,0,"But San Luis Obispo Police Chief Jim Gardiner said that the proposed amendment would not specifically target"
89,1,4,"TXT","6",0,0,"students."
90,1,4,"TXT","7",0,0,"“This is not a student ordinance,” Gardiner said during a meeting at the police department Thursday. “The amendment relates to problem tenants, whoever they may be.”"
91,1,4,"TXT","8",0,0,"An average of 2,100 noise citations are given out each year. Gardiner said that only a small percentage of those violaters would*be affected by the amendment."
92,1,4,"TXT","9",9,0,"“There is a small group that is causing problems for all of us,” Gardiner said. “(The amendment) is essentially to See NOISE, page 9"
93,0,0,"NA","0",0,0,"c"
94,0,0,"NA","0",0,0,"v’l ieach«-'’s.."
95,0,0,"NA","0",0,0,"■ J j e	\'v ntls"
96,0,0,"NA","0",0,0,",	■■ 11.. • .'5 * 'V"
97,0,0,"NA","0",0,0,"1"
98,0,0,"NA","0",0,0,"1 . r - wL ha a ’"
99,0,0,"NA","0",0,0,"â"
100,0,0,"NA","0",0,0,"it- Í in ïihîd."
101,0,0,"NA","0",0,0,". ..!PO ii"
102,0,0,"B","0",0,0,
103,0,0,"NA","0",0,0,"'iî t- '"
104,0,0,"NA","0",0,0,"Í ^ ^"
105,0,0,"NA","0",0,0,"\"
106,0,0,"NA","0",0,0,"V V"
107,1,0,"AT","0",0,1,"Saturday weather:"
108,1,0,"AT","0",0,1,"Mostly ‘iunny, breezy"
109,1,0,"AT","0",0,1,"liieh 60s"
