"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTXTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,1,0,"NP","0",0,0,"CALIFORNIA POLYTECHNIC"
2,1,0,"NP","0",0,0,"UNIVERSITY SAN LUIS OBISPO"
3,1,0,"NP","0",0,0,"Musiang Daiiy"
4,1,0,"PI","0",0,0,"VOLUME 56, NO. 1 18 ★ MONDAY, MAY 1 1, 1992"
5,1,1,"HL","0",0,0,"Presidential candidate’s wife speaks at Poly"
6,1,1,"HL","0",0,0,"Hillary Clinton emphasizes husband’s education plan"
7,1,1,"BL","0",0,0,"By Brad Hamilton"
8,1,1,"BL","0",0,0,"Staff Writer"
9,1,1,"TXT","1",0,0,"Hillary Rodham Clinton told an audience of about 100 supporters at Vista Grande restaurant Friday to think about their future and the future of their children when they vote in this year’s elections."
10,1,1,"TXT","2",0,0,"In her speech, she briefly outlined the political platform of her husband Bill Clinton, a Democratic presidential candidate. Clinton said her husband will implement a new economic system which will put people ahead of money."
11,1,1,"TXT","3",0,0,"He will support investor tax credit to allow businesses to install new equipment in the workplace and to produce new jobs. He will eliminate tax advantages that reward those who pick up and move their business out of the country. Moreover, he will emphasize job training in order to help workers gain skills to demand and exceed wages that others demand in other countries."
12,1,1,"TXT","4",0,0,"The education plan described drew applause. Clinton’s husband wants to develop a strategy and partnership with educators to achieve national"
13,1,1,"TXT","4",0,0,"education goals, which Clinton said have been “placed on a shelf by the Bush administration.” C^e goal is to place Americans at the top of the world in math and science by the year 2000."
14,1,1,"TXT","5",0,0,"Clinton’s education plan also includes providing loans to those needing assistance which can be paid back through community service. Serving as a police officer, a teacher’s assistant or child care worker would serve as repayment."
15,1,1,"TXT","6",0,0,"In addition, Clinton’s husband wants to establish an apprenticeship program in high schools for kids to improve their marketability if they choose not to attend college."
16,1,1,"TXT","7",0,0,"“We don’t really take advantage of the good, hardworking young people who we have,” Clinton said as she gripped the podium. “We could help (them) become much better skilled through the national"
17,1,1,"TXT","7",0,0,"apprenticeship program for anyone who wants to understand the value of work and be a real contributor."
18,1,1,"TXT","8",8,0,"“We believe that the education of a future generation of America is not only good for them but essential to our country and its See CLINTON, page 8"
19,0,0,"B","0",0,0,
20,0,0,"B","0",0,0,
21,0,0,"NA","0",0,0,"■L"
22,1,1,"PH","0",0,,"BRAD HAMILTONAIustang Daily"
23,1,1,"PH","0",0,0,"Hillary Clinton, right, wife of presidential hopeful Bill Clinton, came to Cal R>ly Friday to speak at a fund-raiser breakfast Friday to benefh her husband’s campaign."
24,1,2,"HL","0",0,0,"Clinton hears protest against cuts"
25,1,2,"BL","0",0,0,"By Carol Boosembark"
26,1,2,"BL","0",0,0,"Staff Writer"
27,1,2,"TXT","1",0,0,"A group protesting the phaseout of the home economics and engineering technology departments was on hand Friday to greet Hillary Clinton as she"
28,1,2,"TXT","1",0,0,"made her way into a benefit breakfast for her husband."
29,1,2,"TXT","2",0,0,"A seasoned public figure and wife of Arkansas Governor and presidential hopeful Bill Clinton, Hillary Clinton listened intently to the students. She mentioned the encounter in her speech at"
30,1,2,"TXT","2",0,0,"Vista Grande Restaurant."
31,1,2,"TXT","3",9,0,"“I met today with the young people outside who were extraordinarily polite who said, ‘We are not protesting you, we are here protesting because of what is going to happen to our See PROTEST, page 7"
32,1,3,"HL","0",0,0,"Baker tours ET, says every student will get degree"
33,0,0,"B","0",0,0,
34,0,0,"B","0",0,0,
35,0,0,"NA","0",0,0,".V."
36,0,0,"B","0",0,0,
37,0,0,"NA","0",0,0,"yr"
38,0,0,"NA","0",0,0,"\"
39,0,0,"B","0",0,0,
40,0,0,"B","0",0,0,
41,0,0,"B","0",0,0,
42,0,0,"NA","0",0,0,"(p"
43,0,0,"NA","0",0,0,"_______________________________"
44,1,3,"PH","0",0,0,"__	, ,	,	i.,	.	.	HANS HESS/Mu«tang Daily"
45,1,3,"PH","0",0,0,"ET associate professor Neill Clark (second from right) helps guide President Wàrren Baker (center) and Charlie Crabb (left) through an ET lab during the president’s tour of the department on Friday."
46,1,3,"BL","0",0,0,"By Mary Kay Duffy"
47,1,3,"BL","0",0,0,"Staff Writer ___ _______________"
48,1,3,"TXT","1",0,0,"President Warren Baker delivered promising news to the engineering technology faculty members after touring their department Friday."
49,1,3,"TXT","2",0,0,"In a private meeting with the faculty, Baker told them that every student in the department will graduate with an ET degree, according to Department Head Kim Davis."
50,1,3,"TXT","3",0,0,"They were also told that no tenured or tenure-track faculty will be laid off for fall quarter. Baker did not say what will happen after then."
51,1,3,"TXT","4",0,0,"“The question still remains who would teach the ET courses if the faculty aren’t around after fall,” Davis said. However, he was pleased with the news. “We’ve gained a major breakthrough from Baker.”"
52,1,3,"TXT","5",0,0,"The ET students agreed, although they still plan to continue protesting the proposed phaseout."
53,1,3,"TXT","6",0,0,"“We’re on (to continue protesting) for Monday,” said John Luna, president of the American Society of Engineering Technologists. “The decision is not over yet.”"
54,1,3,"TXT","7",0,0,"During the meeting, Davis presented Baker with some alternatives to cutting the ET curriculum. He suggested moving ET programs, including all students and faculty, into complementary engineering departments."
55,1,3,"TXT","8",0,0,"Davis said that Baker “just glanced at the proposal,” but he said he would look it over in depth later."
56,1,3,"TXT","9",0,0,"“There is no question of the value of our department,” Davis said. “Baker does see technology and engineering working together.”"
57,1,3,"TXT","10",0,0,"The faculty members said that Baker seemed impressed with the students during the tour. “He stressed it over and over,” professor Fred Friedman said. “They really did a fantastic job.”"
58,1,3,"TXT","11",0,0,"During the hourlong tour, students showed lab work, typical homework assignments and senior projects."
59,1,3,"TXT","12",0,0,"Baker listened intently and asked questions throughout the tour."
60,1,3,"TXT","13",0,0,"The presentations emphasized the correlation between the course work and the work graduates do in the industry."
61,1,3,"ME","0",3,0,"See BAKER, page 3"
62,1,0,"OT","0",0,0,"Campus crime,"
63,1,0,"OT","0",0,0,"Cal Poly is one of the safest campuses in the eSU, but Public Safety says that's no reason to let down your guard."
64,1,0,"OT","0",0,0,"Page 3"
65,1,0,"OT","0",0,0,"Politics,"
66,1,0,"OT","0",0,0,"Sports,"
67,1,0,"OT","0",0,0,"Wife of congressional hopeful Michael Huffington was in San Luis Obispo to help with her husband's campaign."
68,1,0,"OT","0",0,0,"Page 3"
69,0,0,"B","0",0,0,
70,1,0,"OT","0",0,0,"The Cal Poly baseball team is headed to the NCAA Western Regionals."
71,1,0,"OT","0",0,0,"Page 5"
72,2,0,"PI","0",0,0,"MONDAY, May 1 1 . 1992"
73,2,0,"PI","0",0,0,"MUSTANG Daily"
74,2,0,"SH","0",0,0,"EWorld ^Nation estate"
75,2,6,"HL","0",0,0,"King case, riots may Pullout of troops leaves have impact in courts L.A. citizens feeling war"
76,2,4,"HL","0",0,0,"17 tourists die when bus drives into ravine"
77,2,4,"TXT","1",0,0,"VITORIA, Spain (AP) — A bus carrying tourists from Lisbon to Paris careened off a road in northern Spain on Saturday, killing 17 people and injuring 31 others, authorities said. A survivor said the driver had fallen asleep."
78,2,4,"TXT","2",0,0,"The bus, carrying 46 passengers, plowed through a safety barrier and into a ravine outside the northern Spanish town of Vitoria, police said. The dead, including a 5-year-old girl, were Portuguese, one of them a Portuguese-born French citizen."
79,2,4,"TXT","3",0,0,"Of the injured, 17 remained hospitalized late Saturday. Police said one New Zealander, two French nationals and two Dutch citizens were among those hospitalized."
80,2,4,"TXT","4",0,0,"Portugal’s news agency Lusa quoted passenger Maria de Nazare Carvalho, 57, as saying the driver apparently fell asleep at the wheel. She said she had suggested he allow the co-driver to take over."
81,2,4,"TXT","5",0,0,"The fall of the bus was broken by a load lost by a truck that had overturned at the same spot earlier in the week, news reports said."
82,2,5,"HL","0",0,0,"Israeli leaders review army conduct, actions"
83,2,5,"TXT","1",0,0,"JENIN, Occupied West Bank (AP) — An Israeli witness account of undercover soldiers shooting Palestinians in cold blood is making Israelis take a new, painful look at their army’s conduct."
84,2,5,"TXT","2",0,0,"The army acknowledges using special units disguised as Arabs to hunt Palestinian militants, but denies accusations that “death squads” shoot them without warning."
85,2,5,"TXT","3",0,0,"On April 20, an Israeli couple, David and Aviva Elimelech, said they saw soldiers shoot and wound two masked Palestinians without warning as they daubed slogans on a wall. The army said a warning was given."
86,2,5,"TXT","4",0,0,"The account got attention because it came from two hard-liners with no apparent ax to grind."
87,2,6,"TXT","1",0,0,"WASHINGTON (AP) — In the aftermath of the Los Angeles riots, the blows that struck Rodney King are reverberating in courtrooms throughout the nation."
88,2,6,"TXT","2",0,0,"A judge in Washington state has postponed the trial of a former police officer out of fear that jurors, mindful of the King case, might treat him unfairly."
89,2,6,"TXT","3",0,0,"Law enforcement officials, lawyers and judges elsewhere have expressed similar fears, and hopes, that the riots will make jurors in police brutality cases think twice before they render verdicts."
90,2,6,"TXT","4",0,0,"“I don’t think there’s any question that ... it’s going to carry over into the courtroom,” said Bobby Stout, executive director of the Wichita, Kan., Crime Commission. “I don’t know how you can avoid it — or if you want to avoid it.”"
91,2,6,"TXT","5",0,0,"There are two threads that run through discussions about the impact of the King verdict. One is that it will make jurors fearful about the ramifications of acquitting a police officer accused of brutality. The other is that it will make courts more sensitive to bias against minorities."
92,2,7,"HL","0",0,0,"Officials finally kill X-ray laser weapon"
