"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead, BQT = block quote text; BQN = name in a block quote; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","ADVERTISEMENT NUMBER","SCANNED TEXT"
1,0,0,"NA",0,"0",0,"/'*»"
2,0,0,"B",0,"0",0,
3,0,0,"NA",0,"0",0,"{ ?. - •'''"
4,0,0,"NA",0,"0",0,"’.;32"
5,1,0,"NP",0,"0",0,"Mustang Daily"
6,0,0,"NA",0,"0",0,"^,.1 ■■ ■ ;"
7,1,0,"PI",0,"0",0,"WediMsday, January 20,1962"
8,1,0,"PI",0,"0",0,"Cattfornia Poljrtacluiic State University, San Lois Obispo"
9,1,0,"PI",0,"0",0,"Volume 46, No. 47"
10,1,1,"HL",0,"0",0,"Emergency worries top Diablo hearing agenda"
11,1,1,"BL",0,"0",0,"BY SHARYN SEARS"
12,1,1,"BL",0,"0",0,"8t«H Writer"
13,1,1,"TXT",1,"0",0,"The function of pressure heaters and power-operated relief valves during an emergency at Diablo Canyon nuclear power plant topped the agenda at the first full-power testing license hearing Tuesday in Avila Beach."
14,1,1,"TXT",2,"0",0,"Among those representing Pacific Gas and Electric Company were members of the consulting team that has been working on the reverification program since the firm’s low-power testing license was suspended last November."
15,1,1,"TXT",3,"0",0,"During a discussion over operating procedure, project engineer John Houch said that in an emergency where the pressure heaters malfunctioned, the actions of the plant operator “would be committed to memory.”"
16,1,1,"TXT",4,"0",0,"If the pressure heater malfunctioned, it would switch from automatic to manual control, Houch said. If the manual control effort proved unsuccessful, the operator would have to refer to the operating procedure manual and proceed to do a cold shutdown, he said."
17,1,1,"SH",0,"0",0,"Wrong CUasincation"
18,1,1,"TXT",5,"0",0,"The pressure heaters are not classifîed under what PG&E calls ""safety grade” equipment. In behalf of the opposition, Herbert Brown, attorney for Gov. Edmund Brown Jr., asked why the pressure heaters are not of safety grade classification and what would be involved in “upgrading” them so they would be of safety grade status."
19,1,1,"TXT",6,"0",0,"‘""The cabling systems between the system’s pressure heaters would have to"
20,0,0,"B",0,"0",0,
21,1,1,"PH",0,"0",0,"Mothers for Peace attorney Joel Reynolds at the hearings."
22,1,1,"TXT",6,"0",0,"be upgraded to safety grade,” a PG&E spokesman said. “To upgrade them would require...considerable effort.” Equipment is labeled “safety grade” if its malfunction would cause an accident or if its function is instrumental in an emergency situation, according to"
23,1,1,"TXT",7,"0",0,"PG&E definition	."
24,1,1,"ME",0,"2",0,"PleaM see paga 2"
25,0,0,"B",0,"0",0,
26,0,0,"B",0,"0",0,
27,0,0,"B",0,"0",0,
28,0,0,"B",0,"0",0,
29,0,0,"NA",0,"0",0,"t ’Ç* ■"
30,0,0,"B",0,"0",0,
31,0,0,"B",0,"0",0,
32,0,0,"B",0,"0",0,
33,0,0,"B",0,"0",0,
34,0,0,"B",0,"0",0,
35,0,0,"B",0,"0",0,
36,0,0,"B",0,"0",0,
37,0,0,"B",0,"0",0,
38,0,0,"NA",0,"0",0,"Vç -"
39,1,2,"HL",0,"0",0,"Supervisors pass draft of SLO emergency plan"
40,1,2,"BL",0,"0",0,"BY TWYLA THOMAS"
41,1,2,"BL",0,"0",0,"Steff Writer"
42,1,2,"TXT",1,"0",0,"Amid puUk opposition to its approval, the Board of Supervisors passed the county draft emergency disaster preparedness plan at its Monday ni^ meeting by a 3-2 vote."
43,1,2,"TXT",2,"0",0,"Supervisors Kurt Küpper and Jeff Jorgensen voted against approval of the plan, while Howard Mankins, Jerry Diefenderfer and Steve MacEl-vaine voted in favor of it."
44,1,2,"TXT",3,"0",0,"According to MacElvaine, the plan was given back a consultant who will make revisions in it before the board approves the final version. There is no specified due date for completion of the plan."
45,1,2,"TXT",4,"0",0,"'The central issues discussed at the meeting were the lack of specific evacuation plans if there is a nuclear accident at Diablo Canyon, consequences of possible earthquake damage to Diablo, how to inform the public if a disaster pccurs and the lack of concrete disaster plans for surrounding cities and Cal Poly."
46,1,2,"TXT",5,"0",0,"MacElvaine said the board was concerned primarily with the sections of the plan that have no detailed explanation of disaster procedures. He cites a “lack of coordination with other agencies” as a cause for the weaknesses in the plan and said the “higher echelons” were at fault for not making the plan more specific."
47,1,2,"SH",0,"0",0,"Unnecessary Study"
48,1,2,"TXT",6,"0",0,"Jorgensen said possible earthquake damage to Diablo should be determined before the plan is finaliz-"
49,1,2,"TXT",6,"0",0,"ed, but MacElvaine claimed a $250,000 study to determine if an earthquake will destroy roads was unnecessary."
50,1,2,"TXT",7,"0",0,"MacElvaine based his contention on Pacific Gas and Electric Co. studies that showed the Hosgri fault, which is 2.5 miles from Diablo, would not cause a severe enough quake to obliterate roads within a 10-mile radius of the plant."
51,1,2,"TXT",8,"0",0,"Representatives from the League of Women Voters said they wanted public notification if there was an “alert stage” at the nuclear power plant, but this was disputed because alert status at EHablo Canyon could include things other than a nuclear accident."
52,1,2,"TXT",9,"0",0,"For instance, a plane that runs out of gas and lands near Diablo would set an alert status in motion."
53,1,2,"TXT",10,"0",0,"'The Office of Emergency Services has the responsibility to alert the public in case of disaster, said MacElvaine, so sirens aren't necessary for other problems."
54,1,2,"SH",0,"0",0,"Shortcomings"
55,1,2,"TXT",11,"0",0,"A major shortcoming in the plan, lack of detailed evacuation procedures, was discussed since many of the cities in the 20-mile radius of the plant have yet to develop their emergency preparedness plans."
56,1,2,"TXT",12,"0",0,"MacElvaine said evacuation plans should be developed for situations other than an accident at Diablo Canyon, since other disasters could occur."
57,1,3,"PH",0,"0",0,"Mu«t«ng —Oêvtd Mlddlecemp"
58,1,3,"PH",0,"0",0,"The site of what was formerly the Poly Canyon trash dump, where toxic materials were once taken, Is shown here with the Dairy Unit In the foreground."
59,1,3,"HL",0,"0",0,"Toxic waste site now “no problem”"
60,1,3,"BL",0,"0",0,"BY SHARON REZAK"
61,1,3,"BL",0,"0",0,"Steif Writer"
62,1,3,"TXT",1,"0",0,"A once potentially dangerous toxic waste dump in Poly Canyon now poses ""no particular problem” to people or the environment, according to Cal Poly’s environmental health and safety officer."
63,1,3,"TXT",2,"0",0,"Donald Van Acker said a number of chemicals were found disposed in the area in 1976, such as metals and acids which he said could “leech into the ground water, or a creek” and threaten the city’s drinking water. Not only could people’s health be harmed by this, but the plant life in Poly Canyon would be hurt by the strong acidic water, ^ said."
64,1,3,"TXT",3,"0",0,"The dump site was once used by various campus departments and personnel, and was open to the"
65,1,3,"TXT",3,"0",0,"general public from the early 1970's until about 1976. No records were kept of what went into the facility. Van Acker said."
66,1,3,"TXT",4,"0",0,"Last summer, the California Regional Water Quality Control Board, and the state Health and Environmental Health Boards conducted tests at the dumpsite. The boards found the environment “stable and without leeching probims,” according to Van Acker."
67,1,3,"TXT",5,"0",0,"He said water testing is still being conducted in the area by the Water Quality Control Board. The board had to wait for a heavy rain season for the water level to be high in order to have accurate tests. Van Acker said the results should be in his office within a couple of months."
68,1,4,"HL",0,"0",0,"Music meyor being considered at Poly"
69,1,4,"BL",0,"0",0,"BY NANCY LEWIS"
70,1,4,"BL",0,"0",0,"SteH Wrtlw"
71,1,4,"TXT",1,"0",0,"A proposed music major is currently being reviewed by the Curriculum Committee of the Academic Senate and may be instituted as part of the campus curriculum, according to the head of Poly’s Music Department."
72,1,4,"TXT",2,"0",0,"Bessie Swanson said that although the proposal was made only last month, she hoped a major would be implemented because “it is valuable to the university.”"
73,1,4,"TXT",3,"0",0,"A bachelor of arts degree would be offered if the major is adopted."
74,1,4,"TXT",4,"0",0,"The main rationale for a music major. said Swanson, is ""Cal Poly is a university."
75,1,4,"TXT",5,"0",0,"By definition, a university' is an institution of higher education where students, in addition to specialized studies in a particular professional field, should expect to enhance their preparation for life as educated persons, she said. The objective is achieved by participating as a member of a campus community that includes the intellectual, social and aesthetic elements of an educated society, as well as by enrolling in courses appropriate to the student s interest and ability ’"
76,1,4,"TXT",6,"0",0,"In order for the Music Department to keep up its quality group performances, students are needed who can devote a lot of time to their music, according to Swanson."
77,1,4,"TXT",7,"0",0,"This isn’t to say that students in other discipbnes can’t perform,” said Swanson."
78,1,4,"TXT",8,"0",0,"But she feels that a major in music would make it easier for students who are interested in music to perform with various campus groups."
79,1,4,"TXT",9,"0",0,"Because there is no music major, students who want to participate in the various performing groups on campus must do so along with their other classes."
80,1,4,"TXT",10,"0",0,"According to Swanson, this limits the quality of performances, because pressures in other classes keep students from fully pursuing their musical interests."
81,1,4,"TXT",11,"0",0,"“The cultural component of the campus needs to be developed, and can with a musk major on campus,” said Swanson."
82,1,4,"TXT",12,"0",0,"A major'in musk at Cal Poly is valuable because there is no school within a 100-mile radius where students in the area can get a degree in musk, said Swanson."
83,1,4,"ME",0,"2",0,"Plaaa« aaa paga 2"
84,0,0,"B",0,"0",0,
85,0,0,"B",0,"0",0,
86,0,0,"NA",0,"0",0,"1 ,"
87,0,0,"NA",0,"0",0,"*mt"
88,2,0,"PI",0,"0",0,"Wediwedey, Jawfâiy 30,1SI2"
89,2,5,"HL",0,"0",0,"School blast kills 6, Injures 36"
90,0,0,"NA",0,"0",0,"*	■.	^r' ■"
91,2,5,"TXT",1,"0",0,"SPENCER. Okla. (AP)—A natural pw tsplookm ripped through the kitchen of an elementary school as it was being evacuated Tueaday, and authorities said six people were idUed and 36 injured."
92,2,5,"TXT",2,"0",0,"Helicopters were brought into the parking lot of a store across the street from the one-story brick Star Elementary School to airlift the more seriously injured to hospitals."
93,2,5,"TXT",3,"0",0,"Ambulances and law enforcement officers rushed to the scene of the blast in Spencer, just east of Oklahoma City."
94,2,6,"HL",0,"0",0,"Court okays death penalty"
95,2,6,"TXT",1,"0",0,"WASHINGTON (API— The Supreme Court refusea Tuesday to ban capital punishment for teen-age killers, but told state judges to use more caution in sentencing young murderers to death."
96,2,6,"TXT",2,"0",0,"The 5-4 decision left open the question of whether imposing the death penalty on teen-age killers vkdates the constitutional ban on cruel and imusual punishment."
97,2,6,"TXT",3,"0",0,"In another action, the court allowed ""unauthorized"" political conunitteee to spend unlimited amounts of money to back officially recognized presidential campaigns."
98,0,0,"B",0,"0",0,
99,2,0,"SH",0,"0",0,"Newslííie"
100,2,8,"HL",0,"0",0,"Jury to sentenco freeway kiHer"
101,0,0,"NA",0,"0",0,"-	V. _"
102,2,8,"TXT",1,"0",0,"LOS ANGELES (API — The fate of convicted Freeway Killer William B<min was placed in the hands of a jury Tuesday after a prosecutor, likening him to Hitler, urged hie exemtkm and a defiinse attorney pleaded for hie Ufe."
103,2,7,"HL",0,"0",0,"No dues found in salvaged jet Music msyor would add culture"
104,2,7,"TXT",1,"0",0,"- WAffiltNOTON (AP>-8alvage crews hoisted the tail of an Air Florida jetBner fnra the frigid grime of the Potonoac River on Monday, but the achievement turned sour when the crumpled section failed to yield two flight recorders which could unravel the causes of last week’s crash."
105,2,7,"TXT",2,"0",0,"Investigators were initially extdtant when, after battling the frozen river for five days, divers managed to tie straps under the Boeing 737's tail and lift it ^m a crane on the bridge overhead."
106,2,7,"TXT",3,"0",0,"As the 15-foot section was pulled up, it broke away from parts of the jetliner’s fuselage. An Associated Press photographer said he saw one body drop back to the water, as did much d^nla."
107,2,4,"ME",0,"-1",0,"From paga 1"
108,2,4,"TXT",13,"0",0,"In a survey conducted by the Cal Poly Music Department, 182 college-age students in the area over the past 10 years have either gone to other schools which offer majors in music or gone into other majors because Od Poly does not offer one in music."
109,2,4,"TXT",14,"0",0,"This campus is a loser in that respect,” Swanson added."
110,2,4,"TXT",15,"0",0,"In order to implement a nfusic major, the proposal"
